state,vehicle_type_code,count,source_file
Jharkhand,4WIC,,RS_Session_258_AU_91_1.csv
Karnataka,4WIC,1.0,RS_Session_258_AU_91_1.csv
Kerala,4WIC,2.0,RS_Session_258_AU_91_1.csv
Ladakh,4WIC,,RS_Session_258_AU_91_1.csv
Madhya Pradesh,4WIC,,RS_Session_258_AU_91_1.csv
Maharashtra,4WIC,1.0,RS_Session_258_AU_91_1.csv
Manipur,4WIC,,RS_Session_258_AU_91_1.csv
Meghalaya,4WIC,,RS_Session_258_AU_91_1.csv
Mizoram,4WIC,,RS_Session_258_AU_91_1.csv
Nagaland,4WIC,,RS_Session_258_AU_91_1.csv
Odisha,4WIC,,RS_Session_258_AU_91_1.csv
Puducherry,4WIC,,RS_Session_258_AU_91_1.csv
Punjab,4WIC,,RS_Session_258_AU_91_1.csv
Rajasthan,4WIC,,RS_Session_258_AU_91_1.csv
Sikkim,4WIC,,RS_Session_258_AU_91_1.csv
Tamil Nadu,4WIC,,RS_Session_258_AU_91_1.csv
Tripura,4WIC,,RS_Session_258_AU_91_1.csv
Dadra and Nagar Haveli and Daman and Diu,4WIC,,RS_Session_258_AU_91_1.csv
Uttar Pradesh,4WIC,,RS_Session_258_AU_91_1.csv
Uttarakhand,4WIC,,RS_Session_258_AU_91_1.csv
West Bengal,4WIC,1.0,RS_Session_258_AU_91_1.csv
Andaman and Nicobar Island,MMV,,RS_Session_258_AU_91_1.csv
Andhra Pradesh,MMV,,RS_Session_258_AU_91_1.csv
Arunachal Pradesh,MMV,,RS_Session_258_AU_91_1.csv
Assam,MMV,,RS_Session_258_AU_91_1.csv
Bihar,MMV,,RS_Session_258_AU_91_1.csv
Chandigarh,MMV,,RS_Session_258_AU_91_1.csv
Chhattisgarh,MMV,,RS_Session_258_AU_91_1.csv
Delhi,MMV,,RS_Session_258_AU_91_1.csv
Goa,MMV,,RS_Session_258_AU_91_1.csv
Gujarat,MMV,2.0,RS_Session_258_AU_91_1.csv
Haryana,MMV,,RS_Session_258_AU_91_1.csv
Himachal Pradesh,MMV,,RS_Session_258_AU_91_1.csv
Jammu and Kashmir,MMV,,RS_Session_258_AU_91_1.csv
Jharkhand,MMV,,RS_Session_258_AU_91_1.csv
Karnataka,MMV,,RS_Session_258_AU_91_1.csv
Kerala,MMV,,RS_Session_258_AU_91_1.csv
Ladakh,MMV,,RS_Session_258_AU_91_1.csv
Madhya Pradesh,MMV,,RS_Session_258_AU_91_1.csv
Maharashtra,MMV,4.0,RS_Session_258_AU_91_1.csv
Manipur,MMV,,RS_Session_258_AU_91_1.csv
Meghalaya,MMV,,RS_Session_258_AU_91_1.csv
Mizoram,MMV,,RS_Session_258_AU_91_1.csv
Nagaland,MMV,,RS_Session_258_AU_91_1.csv
Odisha,MMV,,RS_Session_258_AU_91_1.csv
Puducherry,MMV,,RS_Session_258_AU_91_1.csv
Punjab,MMV,,RS_Session_258_AU_91_1.csv
Rajasthan,MMV,,RS_Session_258_AU_91_1.csv
